year,RegionName,population,median_value,gross_rent_total,median_income
2015,Bloomsburg-Berwick PA,85405.85714285717,145351.42857142867,706.1428571428571,47369.2285714286
2016,Bloomsburg-Berwick PA,85208.17142857148,148134.28571428583,726.4285714285716,48763.88571428574
2017,Bloomsburg-Berwick PA,84905.34285714291,151288.57142857154,740.857142857143,49957.97142857145
2018,Bloomsburg-Berwick PA,84497.3714285715,154814.28571428583,749.4285714285714,50951.485714285736
2019,Bloomsburg-Berwick PA,83984.2571428572,158711.4285714287,752.142857142857,51744.4285714286
2020,Bloomsburg-Berwick PA,83366.00000000003,162980.00000000012,748.9999999999994,52336.80000000003
2021,Bloomsburg-Berwick PA,82642.6,167620.00000000012,739.9999999999989,52728.60000000005
2022,Bloomsburg-Berwick PA,81814.05714285711,172631.42857142867,725.1428571428554,52919.82857142863
2015,Bluefield WV-VA,106346.34285714291,88077.14285714287,589.5714285714289,36736.31428571432
2016,Bluefield WV-VA,103842.22857142861,90091.42857142858,604.514285714286,37796.34285714288
2017,Bluefield WV-VA,103142.25714285718,92462.85714285716,622.0285714285717,38977.085714285735
2018,Bluefield WV-VA,104246.42857142862,95191.4285714286,642.114285714286,40278.542857142886
2019,Bluefield WV-VA,107154.74285714293,98277.14285714287,664.7714285714289,41700.71428571432
2020,Bluefield WV-VA,111867.20000000011,101720.00000000003,690.0000000000007,43243.60000000005
2021,Bluefield WV-VA,118383.80000000016,105520.00000000003,717.8000000000009,44907.20000000007
2022,Bluefield WV-VA,126704.5428571431,109677.1428571429,748.1714285714297,46691.51428571439
2015,Blytheville AR,44862.74285714286,79705.71428571435,626.4857142857144,34641.40000000001
2016,Blytheville AR,44203.628571428584,80457.14285714291,617.457142857143,35061.80000000001
2017,Blytheville AR,43527.65714285716,81494.28571428577,614.7142857142859,36064.20000000001
2018,Blytheville AR,42834.828571428596,82817.14285714293,618.2571428571431,37648.60000000001
2019,Blytheville AR,42125.142857142884,84425.71428571438,628.0857142857146,39815.000000000015
2020,Blytheville AR,41398.60000000002,86320.00000000015,644.2000000000004,42563.40000000002
2021,Blytheville AR,40655.20000000001,88500.00000000019,666.6000000000005,45893.80000000003
2022,Blytheville AR,39894.94285714286,90965.71428571455,695.2857142857148,49806.20000000004
2015,Bogalusa LA,46520.34285714289,80377.14285714293,572.6857142857147,30567.74285714286
2016,Bogalusa LA,46449.4285714286,80711.42857142862,575.057142857143,31346.22857142858
2017,Bogalusa LA,46415.65714285718,84102.8571428572,589.7142857142858,32785.85714285716
2018,Bogalusa LA,46419.0285714286,90551.42857142864,616.6571428571431,34886.62857142859
2019,Bogalusa LA,46459.542857142886,100057.14285714293,655.8857142857146,37648.542857142886
2020,Bogalusa LA,46537.20000000003,112620.0000000001,707.4000000000005,41071.60000000004
2021,Bogalusa LA,46652.00000000003,128240.00000000013,771.2000000000007,45155.800000000054
2022,Bogalusa LA,46803.94285714289,146917.14285714302,847.2857142857155,49901.14285714293
2015,Boise City ID,651343.2285714289,167474.2857142858,819.0,51055.88571428576
2016,Boise City ID,663674.4857142861,177242.8571428572,844.8000000000002,52267.057142857164
2017,Boise City ID,677715.1714285718,192625.71428571432,876.6000000000003,54258.51428571431
2018,Boise City ID,693465.2857142863,213622.85714285716,914.4000000000001,57030.257142857175
2019,Boise City ID,710924.8285714292,240234.28571428577,958.1999999999999,60582.28571428578
2020,Boise City ID,730093.8000000009,272460.0000000001,1007.9999999999995,64914.600000000115
2021,Boise City ID,750972.2000000011,310300.00000000023,1063.7999999999993,70027.20000000019
2022,Boise City ID,773560.02857143,353754.28571428603,1125.5999999999985,75920.08571428597
2015,Boone IA,26405.39999999999,119074.99999999996,646.3000000000003,52882.35
2016,Boone IA,26397.800000000003,124475.00000000004,649.1000000000003,54820.950000000004
2017,Boone IA,26394.200000000015,128925.00000000009,676.9000000000003,57598.05000000002
2018,Boone IA,26394.60000000003,132425.00000000006,729.7000000000005,61213.65000000002
2020,Boone IA,26407.400000000067,136574.99999999985,910.3000000000013,70960.35000000005
2021,Boone IA,26419.80000000009,137224.99999999968,1038.1000000000017,77091.45000000006
2022,Boone IA,26436.20000000011,136924.99999999942,1190.9000000000024,84061.05000000006
2015,Boone NC,52230.62857142861,230111.42857142867,899.2499999999999,37541.08571428573
2016,Boone NC,52770.68571428574,234834.28571428586,836.1499999999999,39546.657142857155
2017,Boone NC,53400.17142857145,237828.5714285716,809.5499999999997,41919.5142857143
2018,Boone NC,54119.085714285735,239094.28571428586,819.4499999999996,44659.65714285716
2019,Boone NC,54927.42857142859,238631.42857142867,865.8499999999992,47767.08571428573
2020,Boone NC,55825.20000000002,236440.00000000006,948.749999999999,51241.8
2021,Boone NC,56812.40000000002,232519.99999999994,1068.1499999999985,55083.79999999999
2022,Boone NC,57889.0285714286,226871.4285714284,1224.049999999998,59293.08571428569
2015,Borger TX,21848.60000000001,73060.00000000003,681.0000000000001,49576.6
2016,Borger TX,21801.200000000008,73820.00000000003,712.0000000000002,49639.00000000001
2017,Borger TX,21702.80000000001,75080.00000000004,738.0000000000003,50118.40000000001
2018,Borger TX,21553.400000000016,76840.00000000006,759.0000000000005,51014.80000000002
2019,Borger TX,21353.000000000025,79100.00000000009,775.0000000000005,52328.20000000002
2020,Borger TX,21101.60000000004,81860.00000000013,786.0000000000005,54058.60000000002
2021,Borger TX,20799.20000000005,85120.00000000017,792.0000000000005,56206.00000000002
2022,Borger TX,20445.800000000072,88880.00000000023,793.0000000000005,58770.40000000002
2015,Boston MA,4691819.457142857,368777.142857143,1233.771428571429,75293.85714285717
2016,Boston MA,4734227.171428573,379211.42857142864,1278.714285714286,78098.77142857145
2017,Boston MA,4772259.742857145,394202.85714285716,1334.2285714285717,81539.5428571429
2018,Boston MA,4805917.171428572,413751.42857142864,1400.3142857142861,85616.17142857147
2019,Boston MA,4835199.457142856,437857.1428571431,1476.971428571429,90328.65714285722
2020,Boston MA,4860106.599999996,466520.0000000005,1564.2,95677.00000000012
2021,Boston MA,4880638.59999999,499740.0000000009,1661.9999999999998,101661.20000000017
2022,Boston MA,4896795.457142841,537517.1428571441,1770.3714285714282,108281.25714285737
2015,Boulder CO,309962.1428571429,367491.42857142875,1181.4000000000008,70833.40000000004
2016,Boulder CO,313908.42857142864,393454.28571428586,1250.0000000000007,72660.00000000004
2017,Boulder CO,317358.8571428572,423988.5714285716,1325.6000000000008,75300.60000000003
2018,Boulder CO,320313.42857142864,459094.2857142859,1408.2000000000007,78755.20000000004
2019,Boulder CO,322772.14285714296,498771.42857142887,1497.8000000000006,83023.80000000002
2020,Boulder CO,324735.00000000006,543020.0000000003,1594.4000000000005,88106.40000000001
2021,Boulder CO,326202.0,591840.0000000005,1698.0000000000007,94002.99999999999
2022,Boulder CO,327173.14285714284,645231.4285714292,1808.6000000000006,100713.59999999995
2015,Bowling Green KY,164128.80000000005,124562.85714285719,674.4285714285716,43256.02857142858
2016,Bowling Green KY,166641.60000000003,129088.57142857145,695.8857142857144,45308.08571428572
2017,Bowling Green KY,169225.40000000005,135057.14285714284,717.7714285714287,47093.571428571435
2018,Bowling Green KY,171880.20000000007,142468.57142857142,740.0857142857145,48612.48571428572
2019,Bowling Green KY,174606.0000000001,151322.8571428571,762.8285714285719,49864.828571428574
2020,Bowling Green KY,177402.8000000001,161619.99999999997,786.0000000000006,50850.600000000006
2021,Bowling Green KY,180270.60000000012,173359.99999999997,809.6000000000008,51569.8
2022,Bowling Green KY,183209.40000000014,186542.85714285713,833.6285714285724,52022.42857142857
2015,Bozeman MT,95285.14285714283,271185.7142857143,872.9714285714286,55681.05714285718
2016,Bozeman MT,97949.02857142857,285497.14285714284,901.9142857142858,56886.37142857145
2017,Bozeman MT,100987.05714285716,304694.2857142857,945.4285714285716,59032.54285714288
2018,Bozeman MT,104399.22857142857,328777.1428571429,1003.514285714286,62119.57142857146
2019,Bozeman MT,108185.54285714283,357745.71428571444,1076.171428571429,66147.4571428572
2020,Bozeman MT,112345.99999999994,391600.00000000023,1163.4000000000005,71116.20000000007
2021,Bozeman MT,116880.59999999986,430340.00000000047,1265.200000000001,77025.8000000001
2022,Bozeman MT,121789.34285714265,473965.714285715,1381.5714285714298,83876.2571428573
2015,Bradford PA,42909.94285714286,75917.14285714288,600.5142857142858,43791.42857142859
2016,Bradford PA,42529.828571428574,76451.4285714286,614.9428571428573,44481.68571428574
2017,Bradford PA,42151.857142857145,77442.85714285716,629.0857142857145,45531.37142857146
2018,Bradford PA,41776.028571428586,78891.4285714286,642.9428571428574,46940.48571428575
2019,Bradford PA,41402.34285714288,80797.1428571429,656.5142857142861,48709.028571428615
2020,Bradford PA,41030.80000000004,83160.00000000007,669.8000000000005,50837.00000000005
2021,Bradford PA,40661.40000000005,85980.00000000012,682.8000000000006,53324.40000000005
2022,Bradford PA,40294.142857142935,89257.14285714303,695.5142857142865,56171.22857142863
2015,Brainerd MN,91579.6571428572,175640.00000000006,713.5999999999997,48268.88571428574
2016,Brainerd MN,91917.77142857145,180020.0000000001,733.1999999999998,50040.85714285716
2017,Brainerd MN,92347.74285714286,185100.0000000001,750.8,51755.114285714306
2018,Brainerd MN,92869.57142857143,190880.00000000012,766.4000000000001,53411.65714285717
2019,Brainerd MN,93483.25714285717,197360.00000000012,780.0000000000003,55010.48571428575
2020,Brainerd MN,94188.80000000006,204540.00000000015,791.6000000000006,56551.60000000005
2021,Brainerd MN,94986.20000000013,212420.00000000015,801.2000000000008,58035.00000000006
2022,Brainerd MN,95875.45714285734,221000.00000000017,808.8000000000011,59460.68571428579
2015,Branson MO,82139.31428571425,132642.85714285716,695.2000000000002,39020.3142857143
2016,Branson MO,89770.74285714286,136348.57142857148,716.8000000000002,39641.54285714287
2017,Branson MO,88418.88571428575,138997.14285714293,743.4000000000002,41023.48571428573
2018,Branson MO,78083.74285714288,140588.5714285715,775.0000000000003,43166.14285714287
2019,Branson MO,58765.31428571427,141122.85714285725,811.6000000000006,46069.51428571429
2020,Branson MO,30463.59999999992,140600.00000000012,853.200000000001,49733.600000000006
2021,Branson MO,-6821.400000000169,139020.00000000015,899.8000000000015,54158.399999999994
2022,Branson MO,-53089.685714285995,136382.85714285728,951.4000000000021,59343.91428571427
